1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
153,89,142,192,398,494,307,0,308,0,56,0,108,45,297,471,,7
378,467,386,180,525,513,419,62,452,0,68,0,70,54,383,425,,7
384,501,382,100,511,472,359,101,479,1,74,0,32,69,384,377,,7
218,124,133,136,502,502,304,96,504,4,80,0,0,76,406,336,,7
252,274,236,140,482,490,345,112,520,3,88,0,0,85,406,300,,7
368,480,372,131,475,501,396,98,539,0,94,0,0,89,407,263,,7
273,288,230,164,458,463,312,107,553,0,100,0,0,95,403,228,,7
192,151,142,160,449,450,282,120,570,0,102,0,0,99,400,195,,7
311,371,298,141,433,427,351,127,582,0,109,0,0,103,398,168,,7
335,413,322,143,420,412,333,124,593,0,111,0,0,106,394,141,,7
191,153,144,140,409,412,259,118,604,0,112,0,0,110,387,115,,7
213,209,193,135,399,407,300,116,611,0,115,0,0,112,381,94,,7
342,430,340,139,391,402,351,118,621,0,119,0,0,114,375,71,,7
266,284,233,137,384,397,289,125,630,0,120,0,0,116,367,49,,7
168,116,126,131,376,398,256,121,637,0,120,0,0,119,362,33,,7
209,202,242,366,169,289,56,566,363,270,21,247,311,37,111,329,,1
257,224,245,274,162,282,58,565,359,265,19,248,313,37,105,320,,1
284,230,250,251,191,325,60,556,360,245,18,247,312,37,99,300,,1
285,220,256,360,198,334,64,581,382,259,16,249,319,36,110,326,,1
304,239,242,166,194,324,57,556,384,247,16,249,317,34,118,313,,1
313,252,254,148,193,322,59,552,391,246,16,251,320,32,119,310,,1
306,247,250,164,185,313,56,544,386,237,16,250,319,30,111,300,,1
241,195,211,102,76,253,52,543,346,209,16,245,318,25,33,269,,1
454,467,349,0,524,651,54,290,415,205,41,228,277,40,104,28,,1
619,548,417,739,413,400,0,257,415,14,0,197,290,18,0,301,,1
495,652,610,1023,536,1023,115,328,447,574,120,836,286,30,588,179,,1
452,528,427,929,412,589,33,294,455,564,125,829,298,39,374,351,,1
384,302,331,1023,246,270,83,706,512,579,134,707,327,37,369,380,,1
398,246,236,680,260,195,46,532,438,458,154,681,306,40,351,300,,1
370,256,259,681,216,182,52,568,450,433,160,643,313,40,324,306,,1
427,276,210,0,332,382,53,465,460,459,162,596,312,42,356,300,,1
381,260,218,57,299,310,47,340,409,323,164,514,287,42,328,242,,1
350,262,221,134,295,352,47,330,383,326,176,567,290,41,288,160,,1
379,271,239,49,304,360,60,360,429,339,177,470,296,43,284,228,,1
349,313,261,246,259,318,44,306,367,307,183,612,290,43,233,176,,1
233,151,307,818,118,47,45,226,101,63,99,141,140,70,14,8,,2
112,100,267,823,140,81,47,230,115,74,108,139,142,70,28,14,,2
110,80,243,790,141,99,46,230,118,76,110,146,144,68,35,19,,2
112,75,233,762,142,111,46,234,123,87,118,145,146,68,42,25,,2
125,103,241,747,137,118,46,242,130,93,126,147,149,67,46,30,,2
135,130,250,733,135,124,46,247,135,99,132,155,152,66,50,34,,2
160,144,157,0,383,544,90,63,434,421,160,415,149,76,585,326,,2
319,503,572,1023,462,992,129,729,680,427,175,137,244,69,381,643,,2
365,465,473,937,464,656,76,714,705,405,158,180,239,66,327,545,,2
418,536,572,1023,310,934,94,1023,756,495,139,207,245,66,87,667,,2
301,380,369,542,361,672,52,698,654,417,127,199,239,65,107,471,,2
291,368,353,453,365,693,48,659,635,402,113,215,239,63,97,425,,2
267,332,331,466,329,667,50,652,609,389,102,222,237,60,81,395,,2
283,365,361,523,340,674,49,634,613,369,93,228,237,58,89,393,,2
262,304,262,542,0,155,46,634,479,366,85,258,239,57,0,418,,2
330,379,414,667,323,685,59,748,606,425,78,340,243,53,192,698,,2
307,331,306,347,527,575,49,573,586,382,70,350,235,51,238,442,,2
299,305,286,322,499,544,50,559,577,363,66,340,235,49,157,409,,2
301,320,294,307,474,531,49,549,568,352,62,344,235,47,121,389,,2
304,338,300,266,455,519,47,535,556,335,59,328,234,46,113,350,,2
579,414,260,0,268,391,36,565,511,645,100,391,288,70,300,748,,3
693,653,568,1023,355,844,128,462,469,672,95,397,256,70,297,547,,3
638,593,415,454,337,798,68,466,460,601,98,373,263,70,254,495,,3
601,548,376,477,322,771,59,465,454,575,97,363,260,69,231,484,,3
552,509,347,468,300,714,42,483,449,536,95,347,260,68,194,473,,3
546,514,359,504,287,663,32,491,459,546,94,376,264,67,171,517,,3
526,474,323,436,278,587,32,494,450,496,96,367,261,64,145,497,,3
518,450,317,449,281,620,57,498,450,509,98,368,260,63,110,475,,3
504,405,256,61,319,585,0,398,464,437,96,354,260,64,179,544,,3
574,460,311,178,350,512,61,444,496,532,88,360,275,61,191,582,,3
576,479,322,146,364,619,70,451,495,530,93,355,273,61,177,554,,3
509,485,350,429,282,681,80,442,447,506,111,348,250,67,111,406,,3
532,501,364,501,275,753,67,412,448,490,113,342,255,68,131,409,,3
500,496,346,414,266,689,55,453,453,469,113,337,259,69,98,421,,3
463,462,325,362,250,654,52,469,449,448,111,331,259,70,77,419,,3
439,430,311,438,243,642,38,437,427,434,108,324,248,71,78,358,,3
427,406,295,407,235,631,44,434,424,421,105,319,247,72,80,355,,3
422,422,307,397,228,614,44,432,419,407,104,314,246,69,81,344,,3
410,416,302,378,221,601,44,429,415,393,102,308,245,69,79,334,,3
389,380,288,379,215,587,42,425,407,381,101,302,242,69,77,316,,3
